,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,-0.066,0.015,-0.093,-0.037,0.0,0.0,8342.0,32026.0,1.0
B6_raw_B,0.002,0.005,-0.007,0.011,0.0,0.0,10676.0,18978.0,1.0
log_gamma_mu,-2.985,0.141,-3.25,-2.718,0.006,0.001,648.0,1319.0,1.02
gamma_raw[0],-0.423,0.233,-0.881,0.007,0.009,0.002,689.0,4172.0,1.02
gamma_raw[1],-2.067,0.327,-2.709,-1.512,0.015,0.003,427.0,738.0,1.02
gamma_raw[2],-1.487,0.309,-2.081,-0.938,0.012,0.002,653.0,2013.0,1.02
gamma_raw[3],2.069,0.483,1.194,2.965,0.016,0.007,904.0,11672.0,1.01
gamma_raw[4],-0.182,0.61,-1.268,0.982,0.018,0.005,1065.0,8927.0,1.01
gamma_raw[5],0.318,0.793,-1.147,1.71,0.022,0.003,1309.0,8571.0,1.01
gamma_raw[6],0.19,0.807,-1.326,1.667,0.01,0.003,7118.0,11030.0,1.0
g_factor_scaled,76.581,0.057,76.474,76.687,0.001,0.0,2840.0,18849.0,1.01
a_raw_B,4.173,0.042,4.094,4.251,0.0,0.0,25387.0,40779.0,1.0
eps_bg_scaled,238.45,0.112,238.315,238.598,0.001,0.002,30521.0,40366.0,1.0
log_gamma_sd,0.617,0.074,0.483,0.762,0.004,0.001,372.0,872.0,1.03
a_scale_scaled,42.561,0.43,41.757,43.361,0.003,0.002,25387.0,40779.0,1.0
B4_scaled,-107.17,20.226,-125.4,-70.017,0.252,0.094,6138.0,23222.0,1.0
B6_scaled,40.403,122.995,-180.208,282.543,1.193,0.572,10676.0,18978.0,1.0
gamma_vec[0],0.039,0.0,0.038,0.04,0.0,0.0,34193.0,24602.0,1.0
gamma_vec[1],0.014,0.001,0.013,0.015,0.0,0.0,24524.0,13358.0,1.0
gamma_vec[2],0.02,0.002,0.018,0.023,0.0,0.0,20046.0,19199.0,1.0
gamma_vec[3],0.183,0.04,0.112,0.259,0.0,0.0,15861.0,20128.0,1.0
gamma_vec[4],0.048,0.021,0.024,0.084,0.001,0.001,1575.0,7910.0,1.01
gamma_vec[5],0.069,0.036,0.021,0.132,0.001,0.001,997.0,2676.0,1.01
gamma_vec[6],0.065,0.036,0.017,0.13,0.001,0.0,5575.0,20569.0,1.01
gamma_vec_scaled[0],3.902,0.045,3.816,3.986,0.0,0.0,34193.0,24602.0,1.0
gamma_vec_scaled[1],1.436,0.055,1.336,1.542,0.0,0.0,24524.0,13358.0,1.0
gamma_vec_scaled[2],2.05,0.153,1.764,2.336,0.001,0.001,20046.0,19199.0,1.0
gamma_vec_scaled[3],18.297,4.026,11.165,25.912,0.033,0.03,15864.0,20128.0,1.0
gamma_vec_scaled[4],4.836,2.15,2.419,8.4,0.051,0.065,1575.0,7910.0,1.01
gamma_vec_scaled[5],6.921,3.591,2.099,13.229,0.123,0.077,997.0,2676.0,1.01
gamma_vec_scaled[6],6.474,3.626,1.691,12.993,0.069,0.025,5568.0,20569.0,1.01
gamma_1_scaled,3.902,0.045,3.816,3.986,0.0,0.0,34193.0,24602.0,1.0
gamma_2_scaled,1.436,0.055,1.336,1.542,0.0,0.0,24524.0,13358.0,1.0
gamma_3_scaled,2.05,0.153,1.764,2.336,0.001,0.001,20046.0,19199.0,1.0
gamma_4_scaled,18.297,4.026,11.165,25.912,0.033,0.03,15864.0,20128.0,1.0
gamma_5_scaled,4.836,2.15,2.419,8.4,0.051,0.065,1575.0,7910.0,1.01
gamma_6_scaled,6.921,3.591,2.099,13.229,0.123,0.077,997.0,2676.0,1.01
gamma_7_scaled,6.474,3.626,1.691,12.993,0.069,0.025,5568.0,20569.0,1.01
gamma_mean_scaled,5.107,0.724,3.779,6.48,0.029,0.012,648.0,1319.0,1.02
gamma_std_scaled,61.746,7.442,48.262,76.174,0.389,0.144,372.0,872.0,1.03
