,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.038,0.037,-0.036,0.103,0.0,0.0,15623.0,15063.0,1.0
B6_raw_H,-0.001,0.014,-0.029,0.025,0.0,0.0,14907.0,16234.0,1.0
log_gamma_mu,-2.973,0.227,-3.389,-2.549,0.002,0.002,12792.0,10247.0,1.0
gamma_raw[0],-0.949,0.323,-1.56,-0.355,0.003,0.003,13682.0,9512.0,1.0
gamma_raw[1],1.298,1.376,-2.298,2.963,0.012,0.014,13337.0,12226.0,1.0
gamma_raw[2],-1.455,1.041,-2.984,1.257,0.01,0.013,16449.0,8317.0,1.0
gamma_raw[3],-0.983,0.862,-2.517,0.737,0.006,0.005,19347.0,15100.0,1.0
gamma_raw[4],-0.465,0.959,-2.195,1.359,0.008,0.004,15333.0,27171.0,1.0
gamma_raw[5],-0.238,1.007,-2.051,1.746,0.009,0.006,12819.0,11426.0,1.0
gamma_raw[6],-0.096,0.999,-1.965,1.781,0.008,0.005,17559.0,22238.0,1.0
g_factor_scaled,71.547,0.284,71.004,72.067,0.002,0.001,20402.0,8175.0,1.0
a_raw_H,6.051,0.23,5.597,6.474,0.002,0.001,17610.0,21411.0,1.0
eps_bg_scaled,245.086,0.693,243.82,246.589,0.005,0.007,19718.0,18628.0,1.0
log_gamma_sd,0.745,0.137,0.492,0.999,0.002,0.002,6656.0,1473.0,1.0
a_scale_scaled,61.717,2.35,57.085,66.038,0.018,0.013,17610.0,21411.0,1.0
B4_scaled,58.818,53.954,-33.874,125.4,0.429,0.272,15336.0,15063.0,1.0
B6_scaled,-33.512,326.709,-625.0,509.837,2.671,1.56,15104.0,16351.0,1.0
gamma_vec[0],0.026,0.002,0.023,0.029,0.0,0.0,20490.0,24550.0,1.0
gamma_vec[1],0.168,0.075,0.008,0.263,0.001,0.001,17787.0,20849.0,1.0
gamma_vec[2],0.026,0.037,0.007,0.101,0.0,0.001,17019.0,7892.0,1.0
gamma_vec[3],0.031,0.027,0.007,0.069,0.0,0.001,19878.0,13892.0,1.0
gamma_vec[4],0.047,0.043,0.006,0.116,0.0,0.001,11837.0,5406.0,1.0
gamma_vec[5],0.059,0.066,0.004,0.146,0.001,0.007,13326.0,10954.0,1.0
gamma_vec[6],0.065,0.062,0.004,0.16,0.0,0.001,16442.0,12891.0,1.0
gamma_vec_scaled[0],2.555,0.158,2.256,2.85,0.001,0.001,20490.0,24550.0,1.0
gamma_vec_scaled[1],16.828,7.368,0.821,26.298,0.06,0.05,17791.0,20849.0,1.0
gamma_vec_scaled[2],2.562,3.698,0.672,10.121,0.037,0.069,17019.0,7892.0,1.0
gamma_vec_scaled[3],3.051,2.704,0.731,6.877,0.022,0.047,19876.0,13892.0,1.0
gamma_vec_scaled[4],4.711,4.107,0.591,11.559,0.04,0.053,11835.0,5406.0,1.0
gamma_vec_scaled[5],5.797,5.465,0.5,14.491,0.05,0.091,13294.0,10954.0,1.0
gamma_vec_scaled[6],6.419,5.854,0.5,15.812,0.043,0.075,16342.0,12891.0,1.0
gamma_1_scaled,2.555,0.158,2.256,2.85,0.001,0.001,20490.0,24550.0,1.0
gamma_2_scaled,16.828,7.368,0.821,26.298,0.06,0.05,17791.0,20849.0,1.0
gamma_3_scaled,2.562,3.698,0.672,10.121,0.037,0.069,17019.0,7892.0,1.0
gamma_4_scaled,3.051,2.704,0.731,6.877,0.022,0.047,19876.0,13892.0,1.0
gamma_5_scaled,4.711,4.107,0.591,11.559,0.04,0.053,11835.0,5406.0,1.0
gamma_6_scaled,5.797,5.465,0.5,14.491,0.05,0.091,13294.0,10954.0,1.0
gamma_7_scaled,6.419,5.854,0.5,15.812,0.043,0.075,16342.0,12891.0,1.0
gamma_mean_scaled,5.247,1.203,3.183,7.524,0.011,0.011,12792.0,10247.0,1.0
gamma_std_scaled,74.459,13.688,49.207,99.94,0.188,0.183,6656.0,1473.0,1.0
