,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,-0.004,0.039,-0.077,0.069,0.0,0.0,11943.0,8255.0,1.0
B6_raw_B,-0.001,0.014,-0.026,0.027,0.0,0.0,16018.0,18274.0,1.0
log_gamma_mu,-2.897,0.23,-3.332,-2.459,0.002,0.002,8747.0,4429.0,1.0
gamma_raw[0],-0.968,0.323,-1.567,-0.339,0.003,0.003,11189.0,13041.0,1.0
gamma_raw[1],-0.119,2.049,-3.114,2.544,0.017,0.005,15782.0,13762.0,1.0
gamma_raw[2],-0.513,1.636,-2.8,2.075,0.013,0.006,15421.0,7744.0,1.0
gamma_raw[3],-0.49,1.072,-2.212,1.619,0.013,0.005,7240.0,18047.0,1.0
gamma_raw[4],-0.16,1.032,-2.051,1.686,0.01,0.005,10623.0,9384.0,1.0
gamma_raw[5],-0.088,1.025,-1.953,1.834,0.008,0.005,16284.0,20008.0,1.0
gamma_raw[6],-0.035,0.998,-1.958,1.775,0.008,0.005,15849.0,10029.0,1.0
g_factor_scaled,77.394,0.299,76.845,77.959,0.003,0.001,10336.0,13795.0,1.0
a_raw_B,4.803,0.188,4.46,5.169,0.002,0.001,13458.0,6865.0,1.0
eps_bg_scaled,245.283,0.73,244.032,246.674,0.006,0.009,14744.0,17611.0,1.0
log_gamma_sd,0.762,0.138,0.514,1.011,0.002,0.002,5951.0,4746.0,1.0
a_scale_scaled,48.99,1.921,45.496,52.724,0.017,0.011,13458.0,6865.0,1.0
B4_scaled,-6.806,62.281,-125.4,95.875,0.558,0.369,12356.0,8255.0,1.0
B6_scaled,-12.612,326.785,-625.0,530.795,2.666,1.454,15321.0,18274.0,1.0
gamma_vec[0],0.027,0.002,0.023,0.031,0.0,0.0,12298.0,22927.0,1.0
gamma_vec[1],0.116,0.105,0.006,0.262,0.001,0.0,13493.0,14436.0,1.0
gamma_vec[2],0.07,0.073,0.007,0.191,0.001,0.001,13540.0,24224.0,1.0
gamma_vec[3],0.052,0.05,0.007,0.14,0.0,0.001,4572.0,19010.0,1.0
gamma_vec[4],0.067,0.064,0.007,0.167,0.001,0.001,7997.0,7581.0,1.0
gamma_vec[5],0.073,0.082,0.004,0.184,0.001,0.003,13503.0,7678.0,1.0
gamma_vec[6],0.074,0.079,0.006,0.187,0.001,0.002,15131.0,17670.0,1.0
gamma_vec_scaled[0],2.679,0.203,2.305,3.064,0.002,0.001,12298.0,22927.0,1.0
gamma_vec_scaled[1],11.59,10.349,0.626,26.242,0.1,0.032,13496.0,14436.0,1.0
gamma_vec_scaled[2],6.961,7.187,0.726,19.115,0.069,0.042,13538.0,24224.0,1.0
gamma_vec_scaled[3],5.235,4.92,0.735,14.01,0.049,0.049,4566.0,19010.0,1.0
gamma_vec_scaled[4],6.668,6.011,0.663,16.698,0.071,0.072,7993.0,7581.0,1.0
gamma_vec_scaled[5],7.176,6.878,0.5,18.318,0.067,0.106,13439.0,7678.0,1.0
gamma_vec_scaled[6],7.334,6.839,0.5,18.44,0.051,0.079,15176.0,17670.0,1.0
gamma_1_scaled,2.679,0.203,2.305,3.064,0.002,0.001,12298.0,22927.0,1.0
gamma_2_scaled,11.59,10.349,0.626,26.242,0.1,0.032,13496.0,14436.0,1.0
gamma_3_scaled,6.961,7.187,0.726,19.115,0.069,0.042,13538.0,24224.0,1.0
gamma_4_scaled,5.235,4.92,0.735,14.01,0.049,0.049,4566.0,19010.0,1.0
gamma_5_scaled,6.668,6.011,0.663,16.698,0.071,0.072,7993.0,7581.0,1.0
gamma_6_scaled,7.176,6.878,0.5,18.318,0.067,0.106,13439.0,7678.0,1.0
gamma_7_scaled,7.334,6.839,0.5,18.44,0.051,0.079,15176.0,17670.0,1.0
gamma_mean_scaled,5.669,1.325,3.316,8.12,0.015,0.017,8747.0,4429.0,1.0
gamma_std_scaled,76.169,13.777,51.359,101.091,0.196,0.169,5951.0,4746.0,1.0
