,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.028,0.038,-0.04,0.103,0.001,0.001,869.0,987.0,1.0
B6_raw_H,-0.001,0.015,-0.025,0.029,0.0,0.0,960.0,945.0,1.0
log_gamma_mu,-2.878,0.267,-3.416,-2.41,0.008,0.006,1004.0,945.0,1.0
gamma_raw[0],-1.911,0.503,-2.815,-0.943,0.016,0.011,967.0,539.0,1.0
gamma_raw[1],0.767,1.216,-1.675,2.467,0.041,0.023,883.0,777.0,1.01
gamma_raw[2],-0.47,1.032,-2.127,1.657,0.033,0.023,997.0,977.0,1.0
gamma_raw[3],-0.107,1.002,-1.915,1.726,0.034,0.024,874.0,717.0,1.0
gamma_raw[4],-0.007,0.957,-1.768,1.85,0.031,0.022,999.0,937.0,1.0
gamma_raw[5],-0.025,0.982,-1.72,1.862,0.032,0.022,954.0,1000.0,1.0
gamma_raw[6],-0.012,0.978,-1.94,1.69,0.03,0.023,1041.0,1077.0,1.0
g_factor_scaled,70.193,0.398,69.44,70.909,0.012,0.008,1080.0,1037.0,1.0
a_raw_H,6.071,0.422,5.242,6.811,0.013,0.009,1000.0,697.0,1.01
eps_bg_scaled,240.883,1.945,237.328,244.493,0.062,0.042,975.0,977.0,1.0
log_gamma_sd,0.674,0.148,0.407,0.944,0.005,0.004,863.0,829.0,1.01
a_scale_scaled,61.926,4.301,53.472,69.471,0.137,0.093,1000.0,697.0,1.01
B4_scaled,43.712,57.754,-54.184,125.4,2.022,1.249,839.0,987.0,1.0
B6_scaled,-14.717,335.589,-625.0,563.035,10.76,6.172,975.0,945.0,1.0
gamma_vec[0],0.016,0.002,0.013,0.02,0.0,0.0,755.0,712.0,1.0
gamma_vec[1],0.13,0.096,0.012,0.279,0.003,0.005,792.0,797.0,1.0
gamma_vec[2],0.055,0.057,0.006,0.145,0.002,0.005,924.0,946.0,1.0
gamma_vec[3],0.068,0.064,0.007,0.177,0.002,0.007,812.0,722.0,1.0
gamma_vec[4],0.071,0.062,0.007,0.169,0.002,0.006,1042.0,945.0,1.0
gamma_vec[5],0.074,0.071,0.007,0.182,0.002,0.007,944.0,877.0,1.0
gamma_vec[6],0.074,0.076,0.005,0.168,0.002,0.014,991.0,970.0,1.0
gamma_vec_scaled[0],1.63,0.186,1.282,1.973,0.007,0.004,755.0,712.0,1.0
gamma_vec_scaled[1],12.875,9.13,1.173,27.937,0.315,0.268,786.0,797.0,1.0
gamma_vec_scaled[2],5.453,5.4,0.569,14.45,0.175,0.361,924.0,946.0,1.0
gamma_vec_scaled[3],6.735,5.676,0.662,17.713,0.202,0.35,813.0,722.0,1.0
gamma_vec_scaled[4],7.103,5.784,0.702,16.9,0.191,0.375,1042.0,945.0,1.0
gamma_vec_scaled[5],7.275,6.351,0.697,18.198,0.199,0.363,945.0,877.0,1.0
gamma_vec_scaled[6],7.254,6.184,0.5,16.841,0.201,0.36,991.0,970.0,1.0
gamma_1_scaled,1.63,0.186,1.282,1.973,0.007,0.004,755.0,712.0,1.0
gamma_2_scaled,12.875,9.13,1.173,27.937,0.315,0.268,786.0,797.0,1.0
gamma_3_scaled,5.453,5.4,0.569,14.45,0.175,0.361,924.0,946.0,1.0
gamma_4_scaled,6.735,5.676,0.662,17.713,0.202,0.35,813.0,722.0,1.0
gamma_5_scaled,7.103,5.784,0.702,16.9,0.191,0.375,1042.0,945.0,1.0
gamma_6_scaled,7.275,6.351,0.697,18.198,0.199,0.363,945.0,877.0,1.0
gamma_7_scaled,7.254,6.184,0.5,16.841,0.201,0.36,991.0,970.0,1.0
gamma_mean_scaled,5.827,1.564,3.155,8.69,0.049,0.043,1004.0,945.0,1.0
gamma_std_scaled,67.409,14.767,40.694,94.408,0.503,0.357,863.0,829.0,1.01
