,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_B,0.02,0.038,-0.058,0.088,0.001,0.001,788.0,1015.0,1.01
B6_raw_B,-0.002,0.015,-0.03,0.025,0.001,0.0,872.0,918.0,1.0
log_gamma_mu,-2.813,0.254,-3.277,-2.326,0.009,0.005,734.0,855.0,1.0
gamma_raw[0],-2.102,0.504,-3.112,-1.283,0.016,0.012,1053.0,948.0,1.0
gamma_raw[1],0.94,0.674,-0.24,2.261,0.026,0.023,723.0,880.0,1.0
gamma_raw[2],-0.234,1.005,-2.039,1.558,0.031,0.019,1055.0,948.0,1.0
gamma_raw[3],-0.079,1.039,-1.987,1.738,0.035,0.024,868.0,902.0,1.0
gamma_raw[4],-0.06,0.966,-1.668,1.852,0.033,0.02,885.0,1029.0,1.0
gamma_raw[5],-0.009,0.942,-1.779,1.673,0.031,0.021,931.0,932.0,1.0
gamma_raw[6],-0.015,0.991,-1.836,1.81,0.031,0.023,1023.0,846.0,1.0
g_factor_scaled,77.365,0.403,76.659,78.156,0.013,0.01,895.0,877.0,1.01
a_raw_B,4.678,0.235,4.225,5.101,0.008,0.006,900.0,911.0,1.0
eps_bg_scaled,241.679,1.966,237.74,244.778,0.064,0.05,921.0,856.0,1.0
log_gamma_sd,0.69,0.141,0.444,0.967,0.004,0.004,1023.0,763.0,1.0
a_scale_scaled,47.715,2.397,43.094,52.026,0.08,0.058,900.0,911.0,1.0
B4_scaled,31.794,59.76,-69.862,125.4,2.153,1.197,773.0,1000.0,1.01
B6_scaled,-48.574,343.177,-625.0,503.975,11.651,5.718,872.0,927.0,1.0
gamma_vec[0],0.015,0.002,0.012,0.018,0.0,0.0,1079.0,843.0,1.0
gamma_vec[1],0.12,0.043,0.039,0.195,0.002,0.001,811.0,872.0,1.0
gamma_vec[2],0.067,0.057,0.007,0.162,0.002,0.004,1003.0,1028.0,1.0
gamma_vec[3],0.076,0.068,0.009,0.201,0.002,0.004,859.0,869.0,1.0
gamma_vec[4],0.076,0.067,0.007,0.187,0.002,0.006,908.0,842.0,1.0
gamma_vec[5],0.078,0.063,0.007,0.2,0.002,0.003,964.0,931.0,1.0
gamma_vec[6],0.079,0.069,0.004,0.205,0.002,0.004,988.0,888.0,1.0
gamma_vec_scaled[0],1.481,0.166,1.158,1.781,0.005,0.004,1079.0,843.0,1.0
gamma_vec_scaled[1],11.974,4.346,3.908,19.508,0.151,0.14,811.0,872.0,1.0
gamma_vec_scaled[2],6.658,5.584,0.681,16.196,0.177,0.317,1003.0,1028.0,1.0
gamma_vec_scaled[3],7.575,6.62,0.877,20.14,0.219,0.355,858.0,869.0,1.0
gamma_vec_scaled[4],7.525,6.176,0.719,18.673,0.195,0.337,908.0,842.0,1.0
gamma_vec_scaled[5],7.785,6.349,0.664,19.953,0.201,0.289,964.0,931.0,1.0
gamma_vec_scaled[6],7.849,6.727,0.5,20.466,0.22,0.327,987.0,888.0,1.0
gamma_1_scaled,1.481,0.166,1.158,1.781,0.005,0.004,1079.0,843.0,1.0
gamma_2_scaled,11.974,4.346,3.908,19.508,0.151,0.14,811.0,872.0,1.0
gamma_3_scaled,6.658,5.584,0.681,16.196,0.177,0.317,1003.0,1028.0,1.0
gamma_4_scaled,7.575,6.62,0.877,20.14,0.219,0.355,858.0,869.0,1.0
gamma_5_scaled,7.525,6.176,0.719,18.673,0.195,0.337,908.0,842.0,1.0
gamma_6_scaled,7.785,6.349,0.664,19.953,0.201,0.289,964.0,931.0,1.0
gamma_7_scaled,7.849,6.727,0.5,20.466,0.22,0.327,987.0,888.0,1.0
gamma_mean_scaled,6.2,1.616,3.477,9.341,0.06,0.048,734.0,855.0,1.0
gamma_std_scaled,68.978,14.122,44.446,96.679,0.44,0.366,1023.0,763.0,1.0
