,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.049,0.048,-0.044,0.134,0.002,0.001,922.0,855.0,1.0
B6_raw_H,0.0,0.014,-0.028,0.024,0.0,0.0,919.0,720.0,1.0
log_gamma_mu,-3.966,0.446,-4.814,-3.161,0.11,0.01,17.0,441.0,1.09
gamma_raw[0],-1.28,0.457,-2.153,-0.524,0.016,0.017,825.0,881.0,1.01
gamma_raw[1],-1.507,0.653,-2.596,-0.193,0.077,0.021,57.0,525.0,1.03
gamma_raw[2],0.411,1.419,-2.015,2.568,0.183,0.023,303.0,815.0,1.03
gamma_raw[3],0.018,1.124,-2.091,1.952,0.038,0.026,873.0,778.0,1.01
gamma_raw[4],-0.479,0.765,-2.006,0.846,0.047,0.02,252.0,749.0,1.02
gamma_raw[5],-0.45,0.791,-1.899,0.986,0.029,0.022,797.0,526.0,1.01
gamma_raw[6],-0.518,0.797,-2.059,0.859,0.032,0.03,638.0,535.0,1.01
g_factor_scaled,69.662,0.528,68.75,70.736,0.024,0.015,490.0,707.0,1.02
a_raw_H,8.25,0.44,7.364,9.043,0.033,0.011,170.0,590.0,1.03
eps_bg_scaled,242.399,1.701,238.827,245.477,0.071,0.044,570.0,574.0,1.02
log_gamma_sd,0.999,0.346,0.329,1.662,0.072,0.008,23.0,548.0,1.07
a_scale_scaled,84.154,4.492,75.116,92.243,0.339,0.111,170.0,590.0,1.03
B4_scaled,81.548,79.82,-72.735,223.702,2.63,1.969,922.0,855.0,1.0
B6_scaled,0.358,343.062,-691.063,597.852,11.335,10.522,919.0,720.0,1.0
gamma_vec[0],0.006,0.001,0.003,0.008,0.0,0.0,878.0,617.0,1.0
gamma_vec[1],0.005,0.005,0.0,0.009,0.0,0.001,337.0,714.0,1.02
gamma_vec[2],0.086,0.086,0.0,0.229,0.019,0.002,34.0,829.0,1.05
gamma_vec[3],0.045,0.059,0.001,0.173,0.002,0.003,780.0,831.0,1.0
gamma_vec[4],0.014,0.011,0.0,0.032,0.0,0.001,845.0,753.0,1.0
gamma_vec[5],0.014,0.011,0.001,0.033,0.0,0.0,793.0,796.0,1.01
gamma_vec[6],0.014,0.01,0.0,0.032,0.0,0.0,684.0,556.0,1.0
gamma_vec_scaled[0],0.558,0.148,0.3,0.85,0.005,0.004,878.0,617.0,1.0
gamma_vec_scaled[1],0.48,0.452,0.023,0.904,0.015,0.15,337.0,714.0,1.02
gamma_vec_scaled[2],8.629,8.564,0.023,22.888,1.917,0.192,34.0,829.0,1.05
gamma_vec_scaled[3],4.459,5.911,0.058,17.292,0.229,0.256,780.0,831.0,1.0
gamma_vec_scaled[4],1.426,1.091,0.046,3.238,0.036,0.053,845.0,753.0,1.0
gamma_vec_scaled[5],1.445,1.053,0.079,3.339,0.04,0.043,793.0,796.0,1.01
gamma_vec_scaled[6],1.387,1.012,0.041,3.238,0.037,0.04,684.0,556.0,1.0
gamma_1_scaled,0.558,0.148,0.3,0.85,0.005,0.004,878.0,617.0,1.0
gamma_2_scaled,0.48,0.452,0.023,0.904,0.015,0.15,337.0,714.0,1.02
gamma_3_scaled,8.629,8.564,0.023,22.888,1.917,0.192,34.0,829.0,1.05
gamma_4_scaled,4.459,5.911,0.058,17.292,0.229,0.256,780.0,831.0,1.0
gamma_5_scaled,1.426,1.091,0.046,3.238,0.036,0.053,845.0,753.0,1.0
gamma_6_scaled,1.445,1.053,0.079,3.339,0.04,0.043,793.0,796.0,1.01
gamma_7_scaled,1.387,1.012,0.041,3.238,0.037,0.04,684.0,556.0,1.0
gamma_mean_scaled,2.082,0.889,0.59,3.598,0.218,0.028,17.0,441.0,1.09
gamma_std_scaled,99.903,34.598,32.934,166.177,7.245,0.82,23.0,548.0,1.07
