,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B4_raw_H,0.037,0.053,-0.059,0.138,0.0,0.0,13430.0,16909.0,1.0
B6_raw_H,-0.003,0.015,-0.033,0.025,0.0,0.0,9546.0,4351.0,1.0
log_gamma_mu,-3.314,0.288,-3.84,-2.759,0.005,0.004,4374.0,1355.0,1.0
gamma_raw[0],-0.504,0.337,-1.176,0.092,0.004,0.003,7779.0,8271.0,1.0
gamma_raw[1],0.691,1.49,-2.078,2.607,0.014,0.007,11164.0,11141.0,1.0
gamma_raw[2],-0.602,1.456,-2.47,2.167,0.013,0.007,13723.0,12592.0,1.0
gamma_raw[3],0.117,0.934,-1.699,1.732,0.009,0.006,10463.0,12434.0,1.0
gamma_raw[4],-0.581,0.722,-1.97,0.742,0.006,0.004,16012.0,12733.0,1.0
gamma_raw[5],-0.745,0.72,-2.083,0.595,0.006,0.004,13594.0,8220.0,1.0
gamma_raw[6],-0.801,0.71,-2.158,0.48,0.006,0.005,13723.0,11347.0,1.0
g_factor_scaled,71.639,0.216,71.224,72.036,0.002,0.001,10011.0,13229.0,1.0
a_raw_H,6.858,0.187,6.524,7.227,0.002,0.001,9099.0,2930.0,1.0
eps_bg_scaled,249.005,0.375,248.251,249.75,0.003,0.003,11984.0,10253.0,1.0
log_gamma_sd,0.878,0.194,0.523,1.216,0.003,0.002,5308.0,4066.0,1.0
a_scale_scaled,69.947,1.906,66.548,73.716,0.02,0.013,9099.0,2930.0,1.0
B4_scaled,62.032,87.979,-98.892,230.955,0.761,0.499,13430.0,16909.0,1.0
B6_scaled,-81.864,379.997,-816.0,617.388,3.892,2.742,9546.0,4351.0,1.0
gamma_vec[0],0.024,0.002,0.02,0.028,0.0,0.0,14794.0,21232.0,1.0
gamma_vec[1],0.095,0.056,0.007,0.155,0.001,0.0,12041.0,5866.0,1.0
gamma_vec[2],0.05,0.065,0.004,0.177,0.001,0.0,11696.0,5939.0,1.0
gamma_vec[3],0.054,0.041,0.004,0.131,0.001,0.001,5757.0,3160.0,1.0
gamma_vec[4],0.025,0.014,0.004,0.051,0.0,0.0,14594.0,15748.0,1.0
gamma_vec[5],0.022,0.012,0.003,0.045,0.0,0.0,11883.0,16110.0,1.0
gamma_vec[6],0.021,0.012,0.002,0.042,0.0,0.0,11463.0,9489.0,1.0
gamma_vec_scaled[0],2.366,0.221,2.001,2.802,0.002,0.001,14794.0,21232.0,1.0
gamma_vec_scaled[1],9.54,5.604,0.713,15.519,0.056,0.023,12041.0,5866.0,1.0
gamma_vec_scaled[2],5.044,6.51,0.445,17.701,0.065,0.043,11696.0,5939.0,1.0
gamma_vec_scaled[3],5.43,4.105,0.449,13.057,0.07,0.099,5757.0,3160.0,1.0
gamma_vec_scaled[4],2.527,1.364,0.423,5.128,0.011,0.008,14594.0,15748.0,1.0
gamma_vec_scaled[5],2.214,1.237,0.252,4.472,0.011,0.008,11883.0,16110.0,1.0
gamma_vec_scaled[6],2.115,1.185,0.226,4.25,0.01,0.006,11463.0,9489.0,1.0
gamma_1_scaled,2.366,0.221,2.001,2.802,0.002,0.001,14794.0,21232.0,1.0
gamma_2_scaled,9.54,5.604,0.713,15.519,0.056,0.023,12041.0,5866.0,1.0
gamma_3_scaled,5.044,6.51,0.445,17.701,0.065,0.043,11696.0,5939.0,1.0
gamma_4_scaled,5.43,4.105,0.449,13.057,0.07,0.099,5757.0,3160.0,1.0
gamma_5_scaled,2.527,1.364,0.423,5.128,0.011,0.008,14594.0,15748.0,1.0
gamma_6_scaled,2.214,1.237,0.252,4.472,0.011,0.008,11883.0,16110.0,1.0
gamma_7_scaled,2.115,1.185,0.226,4.25,0.01,0.006,11463.0,9489.0,1.0
gamma_mean_scaled,3.792,1.132,1.854,5.931,0.021,0.025,4374.0,1355.0,1.0
gamma_std_scaled,87.751,19.43,52.298,121.558,0.282,0.236,5308.0,4066.0,1.0
